id,SSID,MAC,RSSI,Time,Location
351,iptime5130,58:86:94:ae:06:de,-37,2025-04-10 17:07:23,hall_5130_1_1
352,DIRECT-5A-HP Color LJ 4303,e2:73:e7:80:67:5a,-39,2025-04-10 17:07:23,hall_5130_1_1
353,DGU-WIFI,26:3f:0b:e2:65:79,-41,2025-04-10 17:07:23,hall_5130_1_1
354,DGU-IoT,22:3f:0b:e2:65:79,-41,2025-04-10 17:07:23,hall_5130_1_1
355,DGU-GUEST,2a:3f:0b:59:2e:74,-41,2025-04-10 17:07:23,hall_5130_1_1
356,DGU-WIFI,26:3f:0b:59:2e:74,-41,2025-04-10 17:07:23,hall_5130_1_1
357,DGU-IoT,22:3f:0b:59:2e:74,-41,2025-04-10 17:07:23,hall_5130_1_1
358,eduroam,36:3f:0b:59:2e:74,-41,2025-04-10 17:07:23,hall_5130_1_1
359,DGU-GUEST,2a:3f:0b:e2:65:79,-42,2025-04-10 17:07:23,hall_5130_1_1
360,eduroam,36:3f:0b:e2:65:79,-42,2025-04-10 17:07:23,hall_5130_1_1
361,iptime5130_5G,58:86:94:ae:06:df,-47,2025-04-10 17:07:23,hall_5130_1_1
362,SVM5132_2.4GHz,72:5d:cc:4d:b2:a8,-50,2025-04-10 17:07:23,hall_5130_1_1
363,DGU-GUEST,2a:3f:1b:e2:65:79,-52,2025-04-10 17:07:23,hall_5130_1_1
364,DGU-WIFI,26:3f:1b:e2:65:79,-52,2025-04-10 17:07:23,hall_5130_1_1
365,DGU-IoT,22:3f:1b:e2:65:79,-52,2025-04-10 17:07:23,hall_5130_1_1
366,eduroam,36:3f:1b:e2:65:79,-52,2025-04-10 17:07:23,hall_5130_1_1
367,,2e:3f:1b:e2:65:79,-52,2025-04-10 17:07:23,hall_5130_1_1
368,,12:3f:1b:e2:65:79,-52,2025-04-10 17:07:23,hall_5130_1_1
369,DGU-GUEST,2a:3f:0b:e2:67:10,-54,2025-04-10 17:07:23,hall_5130_1_1
370,SVM5132,70:5d:cc:1d:b2:a8,-55,2025-04-10 17:07:23,hall_5130_1_1
371,HRILAB,58:86:94:16:4a:a8,-56,2025-04-10 17:07:23,hall_5130_1_1
372,hri5125,58:86:94:7e:cb:00,-56,2025-04-10 17:07:23,hall_5130_1_1
373,iptime,70:5d:cc:60:cd:b0,-57,2025-04-10 17:07:23,hall_5130_1_1
374,CNWLab_5G,70:5d:cc:39:67:e4,-58,2025-04-10 17:07:23,hall_5130_1_1
375,DGU-IoT,22:3f:1b:59:2e:74,-59,2025-04-10 17:07:23,hall_5130_1_1
376,eduroam,36:3f:1b:59:2e:74,-59,2025-04-10 17:07:23,hall_5130_1_1
377,DGU-GUEST,2a:3f:1b:59:2e:74,-60,2025-04-10 17:07:23,hall_5130_1_1
378,DGU-WIFI,26:3f:1b:59:2e:74,-60,2025-04-10 17:07:23,hall_5130_1_1
379,DIRECT-TCC48x Series,86:25:19:a0:cb:e8,-60,2025-04-10 17:07:23,hall_5130_1_1
380,DGU-WIFI,26:3f:0b:e2:63:60,-62,2025-04-10 17:07:23,hall_5130_1_1
381,DGU-GUEST,2a:3f:0b:59:2d:a3,-62,2025-04-10 17:07:23,hall_5130_1_1
382,DGU-WIFI,26:3f:0b:59:2d:a3,-62,2025-04-10 17:07:23,hall_5130_1_1
383,eduroam,36:3f:0b:59:2d:a3,-62,2025-04-10 17:07:23,hall_5130_1_1
384,DGU-IoT,22:3f:0b:59:2d:a3,-62,2025-04-10 17:07:23,hall_5130_1_1
385,DGU-GUEST,2a:3f:0b:e2:63:60,-63,2025-04-10 17:07:23,hall_5130_1_1
386,DGU-IoT,22:3f:0b:e2:63:60,-63,2025-04-10 17:07:23,hall_5130_1_1
387,eduroam,36:3f:0b:e2:63:60,-63,2025-04-10 17:07:23,hall_5130_1_1
388,,16:11:32:7c:45:c8,-63,2025-04-10 17:07:23,hall_5130_1_1
389,dhwc,70:5d:cc:44:10:a2,-63,2025-04-10 17:07:23,hall_5130_1_1
390,CSDC_5157,3c:7c:3f:3e:1f:c8,-63,2025-04-10 17:07:23,hall_5130_1_1
391,plrwap,78:db:2f:0f:ee:04,-64,2025-04-10 17:07:23,hall_5130_1_1
392,HRILAB5G,5a:86:94:46:4a:a8,-66,2025-04-10 17:07:23,hall_5130_1_1
393,,12:3f:0b:59:2e:20,-66,2025-04-10 17:07:23,hall_5130_1_1
394,DGU-GUEST,2a:3f:1b:e2:67:10,-69,2025-04-10 17:07:23,hall_5130_1_1
395,DGU-WIFI,26:3f:1b:e2:67:10,-69,2025-04-10 17:07:23,hall_5130_1_1
396,DGU-IoT,22:3f:1b:e2:67:10,-69,2025-04-10 17:07:23,hall_5130_1_1
397,eduroam,36:3f:1b:e2:67:10,-69,2025-04-10 17:07:23,hall_5130_1_1
398,,b2:ee:52:de:60:ed,-70,2025-04-10 17:07:23,hall_5130_1_1
399,,2e:3f:1b:e2:67:10,-70,2025-04-10 17:07:23,hall_5130_1_1
400,eduroam,36:3f:0b:59:2e:7f,-71,2025-04-10 17:07:23,hall_5130_1_1
401,MME-5159,00:11:32:7c:45:c9,-72,2025-04-10 17:07:23,hall_5130_1_1
402,DGU-IoT,22:3f:1b:e2:63:60,-73,2025-04-10 17:07:23,hall_5130_1_1
403,DGU-GUEST,2a:3f:1b:e2:63:60,-74,2025-04-10 17:07:23,hall_5130_1_1
404,DGU-WIFI,26:3f:1b:e2:63:60,-74,2025-04-10 17:07:23,hall_5130_1_1
405,eduroam,36:3f:1b:e2:63:60,-74,2025-04-10 17:07:23,hall_5130_1_1
406,CSDC2_5157_5G,58:86:94:ea:f7:4c,-75,2025-04-10 17:07:23,hall_5130_1_1
407,CSDC_5157_5G,3c:7c:3f:3e:1f:cc,-76,2025-04-10 17:07:23,hall_5130_1_1
408,PLASS_Wifi_5G,58:11:22:67:a0:84,-77,2025-04-10 17:07:23,hall_5130_1_1
409,,12:3f:1b:59:2d:a3,-78,2025-04-10 17:07:23,hall_5130_1_1
410,,2e:3f:1b:59:2d:a3,-79,2025-04-10 17:07:23,hall_5130_1_1
411,DGU-GUEST,2a:3f:1b:59:2d:a3,-79,2025-04-10 17:07:23,hall_5130_1_1
412,DGU-WIFI,26:3f:1b:59:2d:a3,-79,2025-04-10 17:07:23,hall_5130_1_1
413,AILAB5G,70:5d:cc:ad:52:2e,-81,2025-04-10 17:07:23,hall_5130_1_1
414,DGU-IoT,22:3f:1b:59:2d:a4,-82,2025-04-10 17:07:23,hall_5130_1_1
415,,12:3f:1b:59:2d:a4,-82,2025-04-10 17:07:23,hall_5130_1_1
416,DGU-GUEST,2a:3f:1b:59:2d:a4,-82,2025-04-10 17:07:23,hall_5130_1_1
417,DGU-WIFI,26:3f:1b:59:2d:a4,-82,2025-04-10 17:07:23,hall_5130_1_1
418,eduroam,36:3f:1b:59:2d:a4,-83,2025-04-10 17:07:23,hall_5130_1_1
419,,12:3f:1b:59:2e:7f,-83,2025-04-10 17:07:23,hall_5130_1_1
420,DGU-GUEST,2a:3f:1b:59:2e:7f,-84,2025-04-10 17:07:23,hall_5130_1_1
421,,12:3f:1b:59:2e:60,-88,2025-04-10 17:07:23,hall_5130_1_1
422,,12:3f:1b:59:2e:20,-88,2025-04-10 17:07:23,hall_5130_1_1
423,iptime5130,58:86:94:ae:06:de,-34,2025-04-10 17:07:28,hall_5130_1_1
424,DIRECT-5A-HP Color LJ 4303,e2:73:e7:80:67:5a,-39,2025-04-10 17:07:28,hall_5130_1_1
425,DGU-GUEST,2a:3f:0b:e2:65:79,-40,2025-04-10 17:07:28,hall_5130_1_1
426,DGU-WIFI,26:3f:0b:e2:65:79,-40,2025-04-10 17:07:28,hall_5130_1_1
427,DGU-IoT,22:3f:0b:e2:65:79,-40,2025-04-10 17:07:28,hall_5130_1_1
428,eduroam,36:3f:0b:e2:65:79,-40,2025-04-10 17:07:28,hall_5130_1_1
429,DGU-GUEST,2a:3f:0b:59:2e:74,-42,2025-04-10 17:07:28,hall_5130_1_1
430,DGU-WIFI,26:3f:0b:59:2e:74,-42,2025-04-10 17:07:28,hall_5130_1_1
431,DGU-IoT,22:3f:0b:59:2e:74,-42,2025-04-10 17:07:28,hall_5130_1_1
432,eduroam,36:3f:0b:59:2e:74,-42,2025-04-10 17:07:28,hall_5130_1_1
433,,2c:3f:0b:59:2e:74,-42,2025-04-10 17:07:28,hall_5130_1_1
434,,12:3f:0b:59:2e:74,-44,2025-04-10 17:07:28,hall_5130_1_1
435,iptime5130_5G,58:86:94:ae:06:df,-48,2025-04-10 17:07:28,hall_5130_1_1
436,DGU-IoT,22:3f:0b:e2:67:10,-49,2025-04-10 17:07:28,hall_5130_1_1
437,DGU-GUEST,2a:3f:0b:e2:67:10,-50,2025-04-10 17:07:28,hall_5130_1_1
438,DGU-WIFI,26:3f:0b:e2:67:10,-50,2025-04-10 17:07:28,hall_5130_1_1
439,eduroam,36:3f:0b:e2:67:10,-50,2025-04-10 17:07:28,hall_5130_1_1
440,,2c:3f:0b:e2:67:10,-50,2025-04-10 17:07:28,hall_5130_1_1
441,DIRECT-TCC48x Series,86:25:19:a0:cb:e8,-51,2025-04-10 17:07:28,hall_5130_1_1
442,DGU-GUEST,2a:3f:1b:e2:65:79,-52,2025-04-10 17:07:28,hall_5130_1_1
443,DGU-WIFI,26:3f:1b:e2:65:79,-52,2025-04-10 17:07:28,hall_5130_1_1
444,DGU-IoT,22:3f:1b:e2:65:79,-52,2025-04-10 17:07:28,hall_5130_1_1
445,eduroam,36:3f:1b:e2:65:79,-52,2025-04-10 17:07:28,hall_5130_1_1
446,CNWLab_5G,70:5d:cc:39:67:e4,-54,2025-04-10 17:07:28,hall_5130_1_1
447,,12:3f:0b:e2:67:10,-54,2025-04-10 17:07:28,hall_5130_1_1
448,SVM5132_2.4GHz,72:5d:cc:4d:b2:a8,-55,2025-04-10 17:07:28,hall_5130_1_1
449,HRILAB,58:86:94:16:4a:a8,-57,2025-04-10 17:07:28,hall_5130_1_1
450,CNWLab,70:5d:cc:39:67:e6,-57,2025-04-10 17:07:28,hall_5130_1_1
451,DGU-GUEST,2a:3f:1b:59:2e:74,-58,2025-04-10 17:07:28,hall_5130_1_1
452,DGU-WIFI,26:3f:1b:59:2e:74,-58,2025-04-10 17:07:28,hall_5130_1_1
453,DGU-IoT,22:3f:1b:59:2e:74,-58,2025-04-10 17:07:28,hall_5130_1_1
454,eduroam,36:3f:1b:59:2e:74,-58,2025-04-10 17:07:28,hall_5130_1_1
455,SVM5132,70:5d:cc:1d:b2:a8,-58,2025-04-10 17:07:28,hall_5130_1_1
456,AILAB,70:5d:cc:ad:52:2c,-58,2025-04-10 17:07:28,hall_5130_1_1
457,,2e:3f:1b:59:2e:74,-58,2025-04-10 17:07:28,hall_5130_1_1
458,,12:3f:1b:59:2e:74,-58,2025-04-10 17:07:28,hall_5130_1_1
459,DGU-GUEST,2a:3f:0b:59:2d:a3,-63,2025-04-10 17:07:28,hall_5130_1_1
460,eduroam,36:3f:0b:e2:63:60,-64,2025-04-10 17:07:28,hall_5130_1_1
461,DGU-WIFI,26:3f:0b:59:2d:a3,-64,2025-04-10 17:07:28,hall_5130_1_1
462,eduroam,36:3f:0b:59:2d:a3,-64,2025-04-10 17:07:28,hall_5130_1_1
463,DGU-IoT,22:3f:0b:59:2d:a3,-64,2025-04-10 17:07:28,hall_5130_1_1
464,DGU-IoT,22:3f:0b:e2:63:60,-65,2025-04-10 17:07:28,hall_5130_1_1
465,DGU-GUEST,2a:3f:1b:e2:67:10,-67,2025-04-10 17:07:28,hall_5130_1_1
466,DGU-WIFI,26:3f:0b:e2:65:b0,-67,2025-04-10 17:07:28,hall_5130_1_1
467,DGU-IoT,22:3f:0b:e2:65:b0,-67,2025-04-10 17:07:28,hall_5130_1_1
468,,12:3f:0b:59:2d:a4,-67,2025-04-10 17:07:28,hall_5130_1_1
469,,12:3f:1b:e2:67:10,-67,2025-04-10 17:07:28,hall_5130_1_1
470,HRILAB5G,5a:86:94:46:4a:a8,-68,2025-04-10 17:07:28,hall_5130_1_1
471,DGU-WIFI,26:3f:1b:e2:67:10,-68,2025-04-10 17:07:28,hall_5130_1_1
472,DGU-IoT,22:3f:1b:e2:67:10,-68,2025-04-10 17:07:28,hall_5130_1_1
473,eduroam,36:3f:1b:e2:67:10,-68,2025-04-10 17:07:28,hall_5130_1_1
474,,2e:3f:1b:e2:67:10,-68,2025-04-10 17:07:28,hall_5130_1_1
475,eduroam,36:3f:0b:e2:65:b0,-68,2025-04-10 17:07:28,hall_5130_1_1
476,EDLAB_2G,88:36:6c:b1:2c:38,-69,2025-04-10 17:07:28,hall_5130_1_1
477,eduroam,36:3f:1b:e2:63:60,-71,2025-04-10 17:07:28,hall_5130_1_1
478,CSDC_5157_5G,3c:7c:3f:3e:1f:cc,-72,2025-04-10 17:07:28,hall_5130_1_1
479,DGU-GUEST,2a:3f:1b:e2:63:60,-73,2025-04-10 17:07:28,hall_5130_1_1
480,DGU-WIFI,26:3f:1b:e2:63:60,-73,2025-04-10 17:07:28,hall_5130_1_1
481,DGU-IoT,22:3f:1b:e2:63:60,-73,2025-04-10 17:07:28,hall_5130_1_1
482,,16:11:32:7c:45:c9,-73,2025-04-10 17:07:28,hall_5130_1_1
483,MME-5159,00:11:32:7c:45:c9,-74,2025-04-10 17:07:28,hall_5130_1_1
484,CSDC2_5157_5G,58:86:94:ea:f7:4c,-74,2025-04-10 17:07:28,hall_5130_1_1
485,,2e:3f:1b:59:2d:a3,-76,2025-04-10 17:07:28,hall_5130_1_1
486,eduroam,36:3f:1b:59:2d:a3,-76,2025-04-10 17:07:28,hall_5130_1_1
487,,12:3f:1b:59:2d:a3,-77,2025-04-10 17:07:28,hall_5130_1_1
488,DGU-GUEST,2a:3f:1b:59:2d:a3,-77,2025-04-10 17:07:28,hall_5130_1_1
489,DGU-WIFI,26:3f:1b:59:2d:a3,-77,2025-04-10 17:07:28,hall_5130_1_1
490,DGU-IoT,22:3f:1b:59:2d:a3,-77,2025-04-10 17:07:28,hall_5130_1_1
491,kwon5G,5a:86:94:46:3d:88,-80,2025-04-10 17:07:28,hall_5130_1_1
492,PLASS_Wifi_5G,58:11:22:67:a0:84,-82,2025-04-10 17:07:28,hall_5130_1_1
493,hri51255G,5a:86:94:4e:cb:00,-82,2025-04-10 17:07:28,hall_5130_1_1
494,CBLAB_5G,88:36:6c:42:04:36,-82,2025-04-10 17:07:28,hall_5130_1_1
495,DGU-IoT,22:3f:1b:59:2d:a4,-83,2025-04-10 17:07:28,hall_5130_1_1
496,,12:3f:1b:59:2d:a4,-83,2025-04-10 17:07:28,hall_5130_1_1
497,DGU-GUEST,2a:3f:1b:59:2d:a4,-83,2025-04-10 17:07:28,hall_5130_1_1
498,eduroam,36:3f:1b:59:2d:a4,-83,2025-04-10 17:07:28,hall_5130_1_1
499,DGU-WIFI,26:3f:1b:59:2d:a4,-84,2025-04-10 17:07:28,hall_5130_1_1
500,,12:3f:1b:59:2e:7f,-84,2025-04-10 17:07:28,hall_5130_1_1
501,,2e:3f:1b:59:2d:a4,-84,2025-04-10 17:07:28,hall_5130_1_1
502,iptime5G,70:5d:cc:60:cd:b2,-86,2025-04-10 17:07:28,hall_5130_1_1
503,,12:3f:1b:59:2e:20,-88,2025-04-10 17:07:28,hall_5130_1_1
504,iptime5130,58:86:94:ae:06:de,-36,2025-04-10 17:07:34,hall_5130_1_1
505,DGU-GUEST,2a:3f:0b:e2:65:79,-40,2025-04-10 17:07:34,hall_5130_1_1
506,DGU-WIFI,26:3f:0b:e2:65:79,-40,2025-04-10 17:07:34,hall_5130_1_1
507,DGU-IoT,22:3f:0b:e2:65:79,-40,2025-04-10 17:07:34,hall_5130_1_1
508,eduroam,36:3f:0b:e2:65:79,-40,2025-04-10 17:07:34,hall_5130_1_1
509,,2c:3f:0b:e2:65:79,-40,2025-04-10 17:07:34,hall_5130_1_1
510,DIRECT-5A-HP Color LJ 4303,e2:73:e7:80:67:5a,-41,2025-04-10 17:07:34,hall_5130_1_1
511,DGU-GUEST,2a:3f:0b:59:2e:74,-42,2025-04-10 17:07:34,hall_5130_1_1
512,DGU-WIFI,26:3f:0b:59:2e:74,-42,2025-04-10 17:07:34,hall_5130_1_1
513,DGU-IoT,22:3f:0b:59:2e:74,-42,2025-04-10 17:07:34,hall_5130_1_1
514,eduroam,36:3f:0b:59:2e:74,-43,2025-04-10 17:07:34,hall_5130_1_1
515,iptime5130_5G,58:86:94:ae:06:df,-46,2025-04-10 17:07:34,hall_5130_1_1
516,,12:3f:0b:e2:65:79,-46,2025-04-10 17:07:34,hall_5130_1_1
517,DGU-GUEST,2a:3f:1b:e2:65:79,-48,2025-04-10 17:07:34,hall_5130_1_1
518,DGU-WIFI,26:3f:1b:e2:65:79,-48,2025-04-10 17:07:34,hall_5130_1_1
519,DGU-IoT,22:3f:1b:e2:65:79,-48,2025-04-10 17:07:34,hall_5130_1_1
520,eduroam,36:3f:1b:e2:65:79,-48,2025-04-10 17:07:34,hall_5130_1_1
521,SVM5132_2.4GHz,72:5d:cc:4d:b2:a8,-50,2025-04-10 17:07:34,hall_5130_1_1
522,CSDC_5157,3c:7c:3f:3e:1f:c8,-53,2025-04-10 17:07:34,hall_5130_1_1
523,hri5125,58:86:94:7e:cb:00,-55,2025-04-10 17:07:34,hall_5130_1_1
524,CNWLab_5G,70:5d:cc:39:67:e4,-55,2025-04-10 17:07:34,hall_5130_1_1
525,HRILAB,58:86:94:16:4a:a8,-57,2025-04-10 17:07:34,hall_5130_1_1
526,DGU-GUEST,2a:3f:1b:59:2e:74,-57,2025-04-10 17:07:34,hall_5130_1_1
527,DGU-WIFI,26:3f:1b:59:2e:74,-57,2025-04-10 17:07:34,hall_5130_1_1
528,DGU-IoT,22:3f:1b:59:2e:74,-57,2025-04-10 17:07:34,hall_5130_1_1
529,eduroam,36:3f:1b:59:2e:74,-57,2025-04-10 17:07:34,hall_5130_1_1
530,SVM5132,70:5d:cc:1d:b2:a8,-57,2025-04-10 17:07:34,hall_5130_1_1
531,MME-5159,00:11:32:7c:45:c8,-58,2025-04-10 17:07:34,hall_5130_1_1
532,dhwc,70:5d:cc:44:10:a2,-60,2025-04-10 17:07:34,hall_5130_1_1
533,AILAB,70:5d:cc:ad:52:2c,-60,2025-04-10 17:07:34,hall_5130_1_1
534,,12:3f:0b:59:2d:a3,-62,2025-04-10 17:07:34,hall_5130_1_1
535,DIRECT-TCC48x Series,86:25:19:a0:cb:e8,-63,2025-04-10 17:07:34,hall_5130_1_1
536,DGU-WIFI,26:3f:0b:59:2d:a3,-63,2025-04-10 17:07:34,hall_5130_1_1
537,eduroam,36:3f:0b:59:2d:a3,-63,2025-04-10 17:07:34,hall_5130_1_1
538,DGU-IoT,22:3f:0b:59:2d:a3,-63,2025-04-10 17:07:34,hall_5130_1_1
539,HRILAB5G,5a:86:94:46:4a:a8,-64,2025-04-10 17:07:34,hall_5130_1_1
540,eduroam,36:3f:0b:e2:63:60,-64,2025-04-10 17:07:34,hall_5130_1_1
541,DGU-IoT,22:3f:0b:e2:65:b0,-67,2025-04-10 17:07:34,hall_5130_1_1
542,solfamily_sin_5F,68:27:19:3d:b8:2d,-67,2025-04-10 17:07:34,hall_5130_1_1
543,DGU-IoT,22:3f:0b:59:2e:7f,-68,2025-04-10 17:07:34,hall_5130_1_1
544,eduroam,36:3f:1b:e2:67:10,-69,2025-04-10 17:07:34,hall_5130_1_1
545,DGU-GUEST,2a:3f:1b:e2:67:10,-70,2025-04-10 17:07:34,hall_5130_1_1
546,DGU-WIFI,26:3f:1b:e2:67:10,-70,2025-04-10 17:07:34,hall_5130_1_1
547,DGU-IoT,22:3f:1b:e2:67:10,-70,2025-04-10 17:07:34,hall_5130_1_1
548,CG5105,88:36:6c:0c:b6:4e,-70,2025-04-10 17:07:34,hall_5130_1_1
549,MME-5159,00:11:32:7c:45:c9,-72,2025-04-10 17:07:34,hall_5130_1_1
550,DGU-WIFI,26:3f:1b:e2:63:60,-72,2025-04-10 17:07:34,hall_5130_1_1
551,DGU-IoT,22:3f:1b:e2:63:60,-72,2025-04-10 17:07:34,hall_5130_1_1
552,eduroam,36:3f:1b:e2:63:60,-72,2025-04-10 17:07:34,hall_5130_1_1
553,CSDC_5157_5G,3c:7c:3f:3e:1f:cc,-72,2025-04-10 17:07:34,hall_5130_1_1
554,mstwifi,58:86:94:99:68:8e,-72,2025-04-10 17:07:34,hall_5130_1_1
555,,2e:3f:1b:e2:63:60,-72,2025-04-10 17:07:34,hall_5130_1_1
556,DGU-GUEST,2a:3f:1b:e2:63:60,-73,2025-04-10 17:07:34,hall_5130_1_1
557,,12:3f:1b:e2:63:60,-73,2025-04-10 17:07:34,hall_5130_1_1
558,CSDC2_5157_5G,58:86:94:ea:f7:4c,-74,2025-04-10 17:07:34,hall_5130_1_1
559,AILAB5G,70:5d:cc:ad:52:2e,-75,2025-04-10 17:07:34,hall_5130_1_1
560,,12:3f:1b:59:2d:a3,-76,2025-04-10 17:07:34,hall_5130_1_1
561,DGU-GUEST,2a:3f:1b:59:2d:a3,-76,2025-04-10 17:07:34,hall_5130_1_1
562,DGU-WIFI,26:3f:1b:59:2d:a3,-76,2025-04-10 17:07:34,hall_5130_1_1
563,DGU-IoT,22:3f:1b:59:2d:a3,-76,2025-04-10 17:07:34,hall_5130_1_1
564,eduroam,36:3f:1b:59:2d:a3,-76,2025-04-10 17:07:34,hall_5130_1_1
565,kwon5G,5a:86:94:46:3d:88,-79,2025-04-10 17:07:34,hall_5130_1_1
566,DGU-IoT,22:3f:1b:59:2d:a4,-82,2025-04-10 17:07:34,hall_5130_1_1
567,,12:3f:1b:59:2d:a4,-82,2025-04-10 17:07:34,hall_5130_1_1
568,DGU-GUEST,2a:3f:1b:59:2d:a4,-82,2025-04-10 17:07:34,hall_5130_1_1
569,,12:3f:1b:59:2e:7f,-82,2025-04-10 17:07:34,hall_5130_1_1
570,DGU-WIFI,26:3f:1b:59:2e:7f,-82,2025-04-10 17:07:34,hall_5130_1_1
571,eduroam,36:3f:1b:59:2e:7f,-82,2025-04-10 17:07:34,hall_5130_1_1
572,PLASS_Wifi_5G,58:11:22:67:a0:84,-83,2025-04-10 17:07:34,hall_5130_1_1
573,DGU-GUEST,2a:3f:1b:59:2e:7f,-83,2025-04-10 17:07:34,hall_5130_1_1
574,DGU-IoT,22:3f:1b:59:2e:7f,-83,2025-04-10 17:07:34,hall_5130_1_1
575,Personal_Yongsik_5GHz,04:d9:f5:b3:94:b8,-87,2025-04-10 17:07:34,hall_5130_1_1
576,iptime5130,58:86:94:ae:06:de,-35,2025-04-10 17:07:40,hall_5130_1_1
577,DGU-GUEST,2a:3f:0b:e2:65:79,-37,2025-04-10 17:07:40,hall_5130_1_1
578,DGU-WIFI,26:3f:0b:e2:65:79,-37,2025-04-10 17:07:40,hall_5130_1_1
579,DGU-IoT,22:3f:0b:e2:65:79,-37,2025-04-10 17:07:40,hall_5130_1_1
580,,2c:3f:0b:e2:65:79,-37,2025-04-10 17:07:40,hall_5130_1_1
581,DIRECT-5A-HP Color LJ 4303,e2:73:e7:80:67:5a,-40,2025-04-10 17:07:40,hall_5130_1_1
582,DGU-GUEST,2a:3f:0b:59:2e:74,-44,2025-04-10 17:07:40,hall_5130_1_1
583,DGU-WIFI,26:3f:0b:59:2e:74,-44,2025-04-10 17:07:40,hall_5130_1_1
584,DGU-IoT,22:3f:0b:59:2e:74,-44,2025-04-10 17:07:40,hall_5130_1_1
585,eduroam,36:3f:0b:59:2e:74,-44,2025-04-10 17:07:40,hall_5130_1_1
586,CNWLab,70:5d:cc:39:67:e6,-46,2025-04-10 17:07:40,hall_5130_1_1
587,iptime5130_5G,58:86:94:ae:06:df,-47,2025-04-10 17:07:40,hall_5130_1_1
588,DGU-GUEST,2a:3f:1b:e2:65:79,-48,2025-04-10 17:07:40,hall_5130_1_1
589,DGU-WIFI,26:3f:1b:e2:65:79,-48,2025-04-10 17:07:40,hall_5130_1_1
590,DGU-IoT,22:3f:1b:e2:65:79,-48,2025-04-10 17:07:40,hall_5130_1_1
591,eduroam,36:3f:1b:e2:65:79,-48,2025-04-10 17:07:40,hall_5130_1_1
592,SVM5132_2.4GHz,72:5d:cc:4d:b2:a8,-49,2025-04-10 17:07:40,hall_5130_1_1
593,,12:3f:0b:e2:65:79,-50,2025-04-10 17:07:40,hall_5130_1_1
594,HRILAB,58:86:94:16:4a:a8,-52,2025-04-10 17:07:40,hall_5130_1_1
595,DGU-GUEST,2a:3f:0b:e2:67:10,-54,2025-04-10 17:07:40,hall_5130_1_1
596,DGU-WIFI,26:3f:0b:e2:67:10,-54,2025-04-10 17:07:40,hall_5130_1_1
597,ktw,58:86:94:7e:ea:78,-56,2025-04-10 17:07:40,hall_5130_1_1
598,DIRECT-TCC48x Series,86:25:19:a0:cb:e8,-57,2025-04-10 17:07:40,hall_5130_1_1
599,dhwc,70:5d:cc:44:10:a2,-57,2025-04-10 17:07:40,hall_5130_1_1
600,SVM5132,70:5d:cc:1d:b2:a8,-57,2025-04-10 17:07:40,hall_5130_1_1
601,MME-5159,00:11:32:7c:45:c8,-57,2025-04-10 17:07:40,hall_5130_1_1
602,CNWLab_5G,70:5d:cc:39:67:e4,-58,2025-04-10 17:07:40,hall_5130_1_1
603,DGU-GUEST,2a:3f:1b:59:2e:74,-60,2025-04-10 17:07:40,hall_5130_1_1
604,DGU-WIFI,26:3f:1b:59:2e:74,-60,2025-04-10 17:07:40,hall_5130_1_1
605,DGU-IoT,22:3f:1b:59:2e:74,-60,2025-04-10 17:07:40,hall_5130_1_1
606,eduroam,36:3f:1b:59:2e:74,-60,2025-04-10 17:07:40,hall_5130_1_1
607,DGU-GUEST,2a:3f:0b:59:2d:a3,-62,2025-04-10 17:07:40,hall_5130_1_1
608,DGU-WIFI,26:3f:0b:59:2d:a3,-62,2025-04-10 17:07:40,hall_5130_1_1
609,,2c:3f:0b:59:2d:a3,-62,2025-04-10 17:07:40,hall_5130_1_1
610,eduroam,36:3f:0b:e2:63:60,-63,2025-04-10 17:07:40,hall_5130_1_1
611,eduroam,36:3f:0b:59:2d:a3,-63,2025-04-10 17:07:40,hall_5130_1_1
612,DGU-IoT,22:3f:0b:59:2d:a3,-63,2025-04-10 17:07:40,hall_5130_1_1
613,,12:3f:0b:59:2d:a3,-63,2025-04-10 17:07:40,hall_5130_1_1
614,DGU-GUEST,2a:3f:1b:e2:63:60,-65,2025-04-10 17:07:40,hall_5130_1_1
615,HRILAB5G,5a:86:94:46:4a:a8,-65,2025-04-10 17:07:40,hall_5130_1_1
616,,12:3f:0b:e2:65:b0,-65,2025-04-10 17:07:40,hall_5130_1_1
617,DGU-WIFI,26:3f:0b:e2:65:b0,-66,2025-04-10 17:07:40,hall_5130_1_1
618,EDLAB_2G,88:36:6c:b1:2c:38,-66,2025-04-10 17:07:40,hall_5130_1_1
619,eduroam,36:3f:0b:59:2e:7f,-66,2025-04-10 17:07:40,hall_5130_1_1
620,eduroam,36:3f:0b:e2:65:b0,-67,2025-04-10 17:07:40,hall_5130_1_1
621,DGU-WIFI,26:3f:0b:59:2e:7f,-67,2025-04-10 17:07:40,hall_5130_1_1
622,solfamily_sin_5F,68:27:19:3d:b8:2d,-68,2025-04-10 17:07:40,hall_5130_1_1
623,DGU-GUEST,2a:3f:0b:59:2e:7f,-68,2025-04-10 17:07:40,hall_5130_1_1
624,MME-5159,00:11:32:7c:45:c9,-70,2025-04-10 17:07:40,hall_5130_1_1
625,DGU-GUEST,2a:3f:1b:e2:67:10,-71,2025-04-10 17:07:40,hall_5130_1_1
626,DGU-IoT,22:3f:1b:e2:67:10,-71,2025-04-10 17:07:40,hall_5130_1_1
